"Latitude (decimal degrees):	42.088",,,,,,
"Longitude (decimal degrees):	2.816",,,,,,
"Elevation (m):	99",,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,
,,,,,,
,,,,,,
Slope: 30 deg. ,,,,,,
Azimuth: 0 deg. ,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	1.0",,,,,,
"System losses (%):	14.0",,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20231029:2010,0,0,0,16.81,3.72,0
20231029:2110,0,0,0,16.44,3.86,0
20231029:2210,0,0,0,16.32,3.86,0
20231029:2310,0,0,0,16.14,3.66,0
20231030:0010,0,0,0,15.74,3.31,0
20231030:0110,0,0,0,15.22,2.97,0
20231030:0210,0,0,0,14.87,2.97,0
20231030:0310,0,0,0,14.64,2.83,0
20231030:0410,0,0,0,14.42,2.83,0
20231030:0510,0,0,0,14.12,2.69,0
20231030:0610,0,0,0,14.24,2.55,0
20231030:0710,20.49,38.74,8.08,15.11,2.83,0
20231030:0810,56.23,84.19,17.46,15.82,2.62,0
20231030:0910,59.81,88.92,25.36,16.75,2.62,0
20231030:1010,61.9,91.76,31.1,17.58,3.03,0
20231030:1110,502.7,644.7,33.97,18.22,3.45,0
20231030:1210,302.66,384.69,33.5,18.82,3.59,0
20231030:1310,443.43,566.19,29.79,19.21,3.52,0
20231030:1410,336.07,425.36,23.39,19.78,4.41,0
20231030:1510,134.38,180.24,15.02,19.57,4.76,0
20231030:1610,8.51,21.76,5.33,18.87,4.34,0
20231030:1710,0,0,0,17.84,3.86,0
20231030:1810,0,0,0,17.08,2.9,0
20231030:1910,0,0,0,14.78,2.9,0
20231030:2010,0,0,0,13.83,3.24,0
20231030:2110,0,0,0,13.2,2.55,0
20231030:2210,0,0,0,13.26,0.62,0
20231030:2310,0,0,0,12.04,1.17,0
20231031:0010,0,0,0,12.29,1.59,0
20231031:0110,0,0,0,11.77,2,0
20231031:0210,0,0,0,11.1,2.28,0
20231031:0310,0,0,0,10.7,2.07,0
20231031:0410,0,0,0,10.29,2,0
20231031:0510,0,0,0,9.54,2,0
20231031:0610,0,0,0,9.09,2.14,0
20231031:0710,140.81,190.56,7.84,10.02,1.72,0
20231031:0810,367.99,460.71,17.2,11.92,1.52,0
20231031:0910,517.14,669.57,25.07,14.99,1.31,0
20231031:1010,588.46,790.12,30.79,16.61,0.9,0
20231031:1110,633.93,860.26,33.64,17.66,1.38,0
20231031:1210,633.47,849.02,33.18,18.43,2.21,0
20231031:1310,535.9,699.73,29.48,18.75,2.48,0
20231031:1410,214.26,275.91,23.11,18.57,2.62,0
20231031:1510,111.08,151.63,14.77,17.98,2.83,0
20231031:1610,25.59,47.74,5.1,17.14,2.48,0
20231031:1710,0,0,0,16.03,2.21,0
20231031:1810,0,0,0,15.3,1.72,0
20231031:1910,0,0,0,14.54,2.07,0
20231031:2010,0,0,0,13.89,2.07,0
20231031:2110,0,0,0,13.47,2.21,0
20231031:2210,0,0,0,13.22,2.34,0
20231031:2310,0,0,0,13.11,2.41,0
20231101:0010,0,0,0,13.18,2.69,0
20231101:0110,0,0,0,13.16,3.03,0
20231101:0210,0,0,0,12.85,3.52,0
20231101:0310,0,0,0,12.83,4.07,0
20231101:0410,0,0,0,12.97,4.41,0
20231101:0510,0,0,0,13.02,4.69,0
20231101:0610,0,0,0,13.18,5.03,0
20231101:0710,15.98,32.16,7.6,13.54,5.52,0
20231101:0810,137.12,179.24,16.94,14.84,4.9,0
20231101:0910,554.81,696.66,24.79,16.63,5.38,0
20231101:1010,306.88,384.17,30.48,18.38,6.34,0
20231101:1110,104.42,143.79,33.32,19.51,6.9,0
20231101:1210,671.05,867.07,32.86,19.94,6.28,0
20231101:1310,336.62,427.86,29.18,19.97,4,0
20231101:1410,492.34,645.5,22.83,19.93,2,0
20231101:1510,277.33,366.25,14.51,20.17,0.41,0
20231101:1610,17.5,36.32,4.87,19.23,1.38,0
20231101:1710,0,0,0,17.44,1.52,0
20231101:1810,0,0,0,16.13,1.31,0
20231101:1910,0,0,0,15.67,1.86,0
20231101:2010,0,0,0,15.02,2.48,0
20231101:2110,0,0,0,14.82,3.03,0
20231101:2210,0,0,0,15.28,3.31,0
20231101:2310,0,0,0,15.84,4,0
20231102:0010,0,0,0,16.64,5.66,0
20231102:0110,0,0,0,17.09,6.76,0
20231102:0210,0,0,0,17.27,7.31,0
20231102:0310,0,0,0,17.33,7.03,0
20231102:0410,0,0,0,17.5,6.76,0
20231102:0510,0,0,0,17.71,6.69,0
20231102:0610,0,0,0,18.07,6.9,0
20231102:0710,19.01,37.09,7.37,17.83,6.83,0
20231102:0810,386.07,485.98,16.68,18.89,6.21,0
20231102:0910,16.77,34.06,24.5,19.78,4.34,0
20231102:1010,22.82,42.57,30.17,20.43,2.9,0
20231102:1110,25.63,46.35,33,20,1.03,0
20231102:1210,58.58,87.98,32.54,17.92,1.45,0
20231102:1310,354.7,451.47,28.88,16.93,1.66,0
20231102:1410,16.38,33.11,22.56,16.31,1.31,0
20231102:1510,6.29,17.97,14.27,15.31,2.97,0
20231102:1610,14.59,31.1,4.64,13.43,4.69,0
20231102:1710,0,0,0,11.95,3.52,0
20231102:1810,0,0,0,11.34,2.14,0
20231102:1910,0,0,0,11.29,2.69,0
20231102:2010,0,0,0,10.77,1.24,0
20231102:2110,0,0,0,10.54,0.9,0
20231102:2210,0,0,0,10.35,1.1,0
20231102:2310,0,0,0,9.6,1.38,0
20231103:0010,0,0,0,8.77,1.86,0
20231103:0110,0,0,0,8.46,1.66,0
20231103:0210,0,0,0,8.23,1.66,0
20231103:0310,0,0,0,7.93,2,0
20231103:0410,0,0,0,7.66,2.14,0
20231103:0510,0,0,0,7.48,2.34,0
20231103:0610,0,0,0,7.71,2.97,0
20231103:0710,146.95,196.64,7.13,8.63,4.34,0
20231103:0810,375.5,459.14,16.43,10.1,3.59,0
20231103:0910,541.26,671.33,24.22,12.04,3.86,0
20231103:1010,641.13,815.36,29.87,13.8,4,0
20231103:1110,683.45,885.55,32.68,15.09,3.86,0
20231103:1210,690.48,900.81,32.23,16.07,3.86,0
20231103:1310,244.61,309.36,28.59,16.52,3.52,0
20231103:1410,209.76,267.69,22.29,16.84,3.17,0
20231103:1510,37.09,60.54,14.02,16.56,2.34,0
20231103:1610,56.25,92.2,4.42,15.56,2.14,0
20231103:1710,0,0,0,13.8,2.69,0
20231103:1810,0,0,0,12.61,1.79,0
20231103:1910,0,0,0,12.43,0.28,0
20231103:2010,0,0,0,10.52,1.1,0
20231103:2110,0,0,0,9.69,1.59,0
20231103:2210,0,0,0,9.2,1.66,0
20231103:2310,0,0,0,8.72,1.72,0
20231104:0010,0,0,0,8.14,1.72,0
20231104:0110,0,0,0,7.94,1.79,0
20231104:0210,0,0,0,7.89,1.66,0
20231104:0310,0,0,0,8.08,2.07,0
20231104:0410,0,0,0,8.58,2.28,0
20231104:0510,0,0,0,9.42,2.76,0
20231104:0610,0,0,0,10.29,3.59,0
20231104:0710,3.63,13.24,6.9,11.05,5.59,0
20231104:0810,84.47,115.9,16.17,12.01,6.48,0
20231104:0910,74.82,105,23.94,12.68,6.55,0
20231104:1010,40.04,63.38,29.57,13.58,5.86,0
20231104:1110,36.05,58.65,32.37,14.8,7.1,0
20231104:1210,464.06,568.69,31.93,16.31,8.48,0
20231104:1310,509.77,627.48,28.3,17.98,9.52,0
20231104:1410,466.69,576.25,22.03,18.16,8.48,0
20231104:1510,325.48,410.09,13.79,18.14,7.59,0
20231104:1610,44.7,76.71,4.2,17.54,7.1,0
20231104:1710,0,0,0,16.87,5.86,0
20231104:1810,0,0,0,16.86,4.97,0
20231104:1910,0,0,0,17,4.76,0
20231104:2010,0,0,0,17.17,5.52,0
20231104:2110,0,0,0,16.98,5.93,0
20231104:2210,0,0,0,16.61,6.07,0
20231104:2310,0,0,0,16.14,6.55,0
20231105:0010,0,0,0,15.43,6.76,0
20231105:0110,0,0,0,14.66,6.69,0
20231105:0210,0,0,0,14.06,6.48,0
20231105:0310,0,0,0,13.52,6.07,0
20231105:0410,0,0,0,13,5.79,0
20231105:0510,0,0,0,12.55,5.52,0
20231105:0610,0,0,0,12.15,5.1,0
20231105:0710,123.53,170.66,6.66,12.3,4.9,0
20231105:0810,348.63,432.05,15.91,13.3,3.86,0
20231105:0910,513.05,644.4,23.67,15.06,3.79,0
20231105:1010,604.46,785.55,29.27,16.76,3.03,0
20231105:1110,640.52,860.29,32.07,18.07,2.07,0
20231105:1210,627.84,858.11,31.62,18.74,1.24,0
20231105:1310,553.91,747.57,28.02,19.03,0.83,0
20231105:1410,456.57,601.76,21.77,18.86,0.76,0
20231105:1510,280.11,366,13.55,18.59,0.9,0
20231105:1610,40.25,70.74,3.99,17.65,1.17,0
20231105:1710,0,0,0,16.04,1.31,0
20231105:1810,0,0,0,14.79,0.9,0
20231105:1910,0,0,0,14.58,0.83,0
20231105:2010,0,0,0,13.48,1.03,0
20231105:2110,0,0,0,12.69,0.97,0
20231105:2210,0,0,0,12.23,0.97,0
20231105:2310,0,0,0,11.36,1.17,0
20231106:0010,0,0,0,10.56,1.38,0
20231106:0110,0,0,0,10.13,1.52,0
20231106:0210,0,0,0,10.1,1.66,0
20231106:0310,0,0,0,9.65,1.93,0
20231106:0410,0,0,0,9.51,2.21,0
20231106:0510,0,0,0,9,2.34,0
20231106:0610,0,0,0,8.77,2.34,0
20231106:0710,118.82,163.61,6.43,9.14,2.14,0
20231106:0810,323.89,401.55,15.66,10.82,1.86,0
20231106:0910,447.81,563.85,23.39,13.35,1.79,0
20231106:1010,529.57,671.15,28.98,14.99,3.17,0
20231106:1110,257.12,323.36,31.76,15.62,3.66,0
20231106:1210,607.79,781.62,31.33,15.59,3.45,0
20231106:1310,211.88,269.12,27.74,15.45,3.1,0
20231106:1410,27.73,48.24,21.51,15.41,2.48,0
20231106:1510,13.82,29.33,13.33,15.08,1.93,0
20231106:1610,22.56,44.1,3.79,14.56,1.45,0
20231106:1710,0,0,0,13.67,0.9,0
20231106:1810,0,0,0,13.01,0.62,0
20231106:1910,0,0,0,11.86,0.9,0
20231106:2010,0,0,0,11.65,1.03,0
20231106:2110,0,0,0,11.46,0.76,0
20231106:2210,0,0,0,11.05,1.17,0
20231106:2310,0,0,0,10.93,1.38,0
20231107:0010,0,0,0,11.03,1.31,0
20231107:0110,0,0,0,11.27,1.52,0
20231107:0210,0,0,0,11.31,1.38,0
20231107:0310,0,0,0,11.1,1.38,0
20231107:0410,0,0,0,11.1,1.17,0
20231107:0510,0,0,0,10.67,0.69,0
20231107:0610,0,0,0,10.22,0.69,0
20231107:0710,61.53,91.58,6.2,8.62,1.52,0
20231107:0810,338.79,421.93,15.41,10.27,1.1,0
20231107:0910,445.87,558.45,23.12,12.21,1.72,0
20231107:1010,612.22,783.26,28.69,13.37,2.9,0
20231107:1110,604.26,770.93,31.46,14.21,3.45,0
20231107:1210,395.68,493.17,31.03,14.77,3.38,0
20231107:1310,589.24,752.05,27.47,15.26,3.52,0
20231107:1410,471.53,592.08,21.27,15.41,3.52,0
20231107:1510,295.02,373.66,13.1,15.3,3.31,0
20231107:1610,31.95,58.3,3.59,14.65,2.97,0
20231107:1710,0,0,0,13.28,2.83,0
20231107:1810,0,0,0,12.38,2.69,0
20231107:1910,0,0,0,12.02,2.28,0
20231107:2010,0,0,0,11.15,2.14,0
20231107:2110,0,0,0,10.37,2.14,0
20231107:2210,0,0,0,9.9,2.34,0
20231107:2310,0,0,0,9.5,2.41,0
20231108:0010,0,0,0,9.05,2.34,0
20231108:0110,0,0,0,8.66,2.21,0
20231108:0210,0,0,0,8.03,2.07,0
20231108:0310,0,0,0,7.43,2,0
20231108:0410,0,0,0,6.89,1.93,0
20231108:0510,0,0,0,6.81,1.79,0
20231108:0610,0,0,0,6.63,1.79,0
20231108:0710,112.71,154.28,5.96,5.66,1.93,0
20231108:0810,343.79,423.19,15.16,8.01,1.24,0
20231108:0910,488.03,625.09,22.85,12.55,0.76,0
20231108:1010,594.59,779.29,28.4,14.44,1.52,0
20231108:1110,667.43,877.75,31.17,15.29,2.69,0
20231108:1210,641.01,831.31,30.75,15.76,3.38,0
20231108:1310,548.79,696.33,27.2,15.97,3.79,0
20231108:1410,475.09,595.21,21.03,15.9,4.14,0
20231108:1510,287.79,363.38,12.89,15.43,4.21,0
20231108:1610,6.41,18.1,3.39,14.42,4,0
20231108:1710,0,0,0,13.08,4,0
20231108:1810,0,0,0,12.36,4,0
20231108:1910,0,0,0,12.29,4.28,0
20231108:2010,0,0,0,11.97,4.48,0
20231108:2110,0,0,0,11.68,4.83,0
20231108:2210,0,0,0,11.44,5.1,0
20231108:2310,0,0,0,11.38,5.59,0
20231109:0010,0,0,0,11.4,5.59,0
20231109:0110,0,0,0,11.42,5.31,0
20231109:0210,0,0,0,11.26,4.97,0
20231109:0310,0,0,0,11.05,4.76,0
20231109:0410,0,0,0,10.94,4.55,0
20231109:0510,0,0,0,11.18,4.55,0
20231109:0610,0,0,0,10.77,3.93,0
20231109:0710,15.38,31.23,5.73,10.12,2.9,0
20231109:0810,236.78,294.5,14.91,10.12,1.59,0
20231109:0910,122.65,160.58,22.58,10.59,1.52,0
20231109:1010,185.31,235.32,28.11,11.7,1.24,0
20231109:1110,604.24,802.82,30.88,12.7,0.55,0
20231109:1210,29.46,50.14,30.46,13.32,0.83,0
20231109:1310,446.46,568.88,26.94,13.69,0.97,0
20231109:1410,463.21,591.88,20.79,14.12,1.17,0
20231109:1510,270.74,345.58,12.68,14.49,1.52,0
20231109:1610,5.86,17.2,3.2,14.17,1.31,0
20231109:1710,0,0,0,13.04,1.24,0
20231109:1810,0,0,0,11.92,1.1,0
20231109:1910,0,0,0,10.53,1.38,0
20231109:2010,0,0,0,10,1.59,0
20231109:2110,0,0,0,9.82,1.24,0
20231109:2210,0,0,0,9.9,0.97,0
20231109:2310,0,0,0,9.88,1.03,0
20231110:0010,0,0,0,9.83,1.1,0
20231110:0110,0,0,0,9.71,0.9,0
20231110:0210,0,0,0,9.82,1.03,0
20231110:0310,0,0,0,10.16,1.31,0
20231110:0410,0,0,0,10.34,1.59,0
20231110:0510,0,0,0,10.24,1.72,0
20231110:0610,0,0,0,9.74,1.86,0
20231110:0710,41.97,67.5,5.5,9.59,1.66,0
20231110:0810,326.53,407.75,14.66,10.56,0.97,0
20231110:0910,469.2,608.87,22.31,13.57,0.07,0
20231110:1010,577.77,763.02,27.83,14.77,0.97,0
20231110:1110,647.79,865.93,30.59,15.47,1.59,0
20231110:1210,630.63,835.91,30.18,16.06,1.93,0
20231110:1310,554.68,720.84,26.68,16.18,2,0
20231110:1410,403.51,509.73,20.56,16.29,2.48,0
20231110:1510,295.43,376.48,12.47,15.73,2.76,0
20231110:1610,4.76,15.39,3.02,14.73,2.55,0
20231110:1710,0,0,0,13.47,2.14,0
20231110:1810,0,0,0,12.79,1.66,0
20231110:1910,0,0,0,12.55,1.59,0
20231110:2010,0,0,0,11.91,1.45,0
20231110:2110,0,0,0,11.37,1.03,0
20231110:2210,0,0,0,10.9,1.1,0
20231110:2310,0,0,0,10.71,1.45,0
20231111:0010,0,0,0,10.75,1.45,0
20231111:0110,0,0,0,10.34,1.59,0
20231111:0210,0,0,0,9.85,1.66,0
20231111:0310,0,0,0,9.64,1.66,0
20231111:0410,0,0,0,10.13,1.31,0
20231111:0510,0,0,0,10.2,1.31,0
20231111:0610,0,0,0,10.31,1.31,0
20231111:0710,17.98,35.21,5.28,10.68,0.9,0
20231111:0810,42.61,66.22,14.42,11.16,0.62,0
20231111:0910,101.02,136.97,22.05,12.89,0.9,0
20231111:1010,561.31,740.53,27.56,13.94,0.55,0
20231111:1110,615.76,836.87,30.31,15.01,0.34,0
20231111:1210,581.31,784.08,29.91,15.96,0.41,0
20231111:1310,238.05,304.88,26.43,16.55,0.97,0
20231111:1410,328.43,418.77,20.33,16.96,1.17,0
20231111:1510,244.51,314.78,12.27,16.69,2.21,0
20231111:1610,3.7,13.58,2.84,15.72,2.34,0
20231111:1710,0,0,0,14.35,1.93,0
20231111:1810,0,0,0,13.59,1.86,0
20231111:1910,0,0,0,13.61,2.41,0
20231111:2010,0,0,0,13.41,2.62,0
20231111:2110,0,0,0,13.21,2.62,0
20231111:2210,0,0,0,12.87,2.62,0
20231111:2310,0,0,0,12.64,2.34,0
20231112:0010,0,0,0,12.49,2.21,0
20231112:0110,0,0,0,12.49,2.14,0
20231112:0210,0,0,0,12.27,2.14,0
20231112:0310,0,0,0,12.14,2.14,0
20231112:0410,0,0,0,11.9,2.14,0
20231112:0510,0,0,0,11.6,1.79,0
20231112:0610,0,0,0,11.21,1.59,0
20231112:0710,28.2,49.67,5.05,11.09,1.66,0
20231112:0810,65.36,94.24,14.18,12.75,1.38,0
20231112:0910,338.28,428.4,21.79,16.25,1.52,0
20231112:1010,564.53,741.44,27.28,18.14,2.14,0
20231112:1110,615.03,816.17,30.03,19.27,2.69,0
20231112:1210,615.46,813.12,29.65,19.76,3.17,0
20231112:1310,546.14,712.75,26.18,20.25,3.17,0
20231112:1410,441.46,569.86,20.11,19.71,2.48,0
20231112:1510,70.5,103.06,12.08,18.83,1.86,0
20231112:1610,1.77,9.96,2.67,17.65,1.66,0
20231112:1710,0,0,0,16.36,1.38,0
20231112:1810,0,0,0,15.62,1.38,0
20231112:1910,0,0,0,15.07,0.83,0
20231112:2010,0,0,0,14.73,1.1,0
20231112:2110,0,0,0,14.55,1.45,0
20231112:2210,0,0,0,14.24,1.72,0
20231112:2310,0,0,0,13.71,1.72,0
20231113:0010,0,0,0,13.04,1.72,0
20231113:0110,0,0,0,12.4,1.59,0
20231113:0210,0,0,0,11.83,1.59,0
20231113:0310,0,0,0,11.44,1.66,0
20231113:0410,0,0,0,11.07,1.59,0
20231113:0510,0,0,0,10.64,1.66,0
20231113:0610,0,0,0,10.29,1.72,0
20231113:0710,76.91,114.48,4.83,11.02,1.59,0
20231113:0810,314.19,395.39,13.94,12.7,1.31,0
20231113:0910,428.97,549.82,21.53,16.3,1.31,0
20231113:1010,534.28,708.13,27.01,18.55,1.31,0
20231113:1110,568.65,774.62,29.76,20.09,0.9,0
20231113:1210,589.64,826.81,29.38,21.23,0.28,0
20231113:1310,528.51,719.61,25.94,22.21,0.9,0
20231113:1410,437.03,580.46,19.9,22.88,1.45,0
20231113:1510,234.78,313.12,11.89,22.85,1.45,0
20231113:1610,2.15,10.86,2.5,21.7,1.38,0
20231113:1710,0,0,0,19.34,1.38,0
20231113:1810,0,0,0,18.19,2,0
20231113:1910,0,0,0,17.09,1.93,0
20231113:2010,0,0,0,15.65,1.93,0
20231113:2110,0,0,0,14.49,1.86,0
20231113:2210,0,0,0,13.61,1.86,0
20231113:2310,0,0,0,13.08,1.86,0
20231114:0010,0,0,0,12.7,1.86,0
20231114:0110,0,0,0,12.41,1.86,0
20231114:0210,0,0,0,12.24,1.86,0
20231114:0310,0,0,0,11.99,1.86,0
20231114:0410,0,0,0,11.78,2,0
20231114:0510,0,0,0,11.64,2.07,0
20231114:0610,0,0,0,11.56,2.07,0
20231114:0710,53.47,84.41,4.6,12.36,1.93,0
20231114:0810,143.08,187.1,13.7,13.79,1.45,0
20231114:0910,433.93,566.41,21.28,18.18,0.76,0
20231114:1010,504.92,683.27,26.75,21.5,0.69,0
20231114:1110,632.11,877.86,29.49,22.83,1.66,0
20231114:1210,588.46,802.49,29.13,23.5,2.14,0
20231114:1310,528.85,714.71,25.71,23.88,1.86,0
20231114:1410,409.65,546.4,19.69,24.05,1.24,0
20231114:1510,237.18,319.36,11.71,23.73,0.69,0
20231114:1610,0.9,8.15,2.34,21.69,1.93,0
20231114:1710,0,0,0,19.32,1.86,0
20231114:1810,0,0,0,17.65,1.17,0
20231114:1910,0,0,0,18.22,0.55,0
20231114:2010,0,0,0,16.6,1.24,0
20231114:2110,0,0,0,16.24,0.97,0
20231114:2210,0,0,0,15.06,1.1,0
20231114:2310,0,0,0,14.23,1.52,0
20231115:0010,0,0,0,13.79,1.66,0
20231115:0110,0,0,0,13.45,1.38,0
20231115:0210,0,0,0,13.9,1.45,0
20231115:0310,0,0,0,14.03,2,0
20231115:0410,0,0,0,13.91,2,0
20231115:0510,0,0,0,13.58,1.86,0
20231115:0610,0,0,0,13.5,1.59,0
20231115:0710,18.83,37.19,4.38,12.97,1.72,0
20231115:0810,17.95,35,13.46,14.01,0.97,0
20231115:0910,112.32,152.21,21.03,15.8,0.55,0
20231115:1010,93.08,129.6,26.49,16.51,1.1,0
20231115:1110,35.46,58.65,29.23,17.17,1.52,0
20231115:1210,21.1,39.73,28.88,17.17,1.66,0
20231115:1310,149.07,196.74,25.48,17.01,1.66,0
20231115:1410,200.06,257.24,19.49,16.95,1.72,0
20231115:1510,136.9,182.72,11.53,16.67,1.86,0
20231115:1610,0,3.62,2.18,16.19,2,0
20231115:1710,0,0,0,15.62,1.93,0
20231115:1810,0,0,0,14.99,1.93,0
20231115:1910,0,0,0,14.84,0.83,0
20231115:2010,0,0,0,14.62,0.9,0
20231115:2110,0,0,0,14.54,1.1,0
20231115:2210,0,0,0,14.35,1.52,0
20231115:2310,0,0,0,14.17,2.07,0
20231116:0010,0,0,0,13.76,2.41,0
20231116:0110,0,0,0,13.77,2.48,0
20231116:0210,0,0,0,13.59,2.41,0
20231116:0310,0,0,0,13.56,2.28,0
20231116:0410,0,0,0,13.46,2.07,0
20231116:0510,0,0,0,13.22,2,0
20231116:0610,0,0,0,13,1.93,0
20231116:0710,1.61,9.46,4.16,12.54,1.79,0
20231116:0810,15.28,31.22,13.23,13.42,1.45,0
20231116:0910,129.19,171.48,20.78,15.24,1.31,0
20231116:1010,364.66,465.04,26.23,16.8,1.31,0
20231116:1110,584.84,779.21,28.97,18,1.59,0
20231116:1210,493.95,651.89,28.63,18.93,1.17,0
20231116:1310,254.66,329.28,25.25,19.65,1.31,0
20231116:1410,306.59,392.21,19.29,19.62,2.34,0
20231116:1510,236.48,307.93,11.36,18.72,2.28,0
20231116:1610,0.57,7.24,2.03,17.55,1.66,0
20231116:1710,0,0,0,16.25,1.17,0
20231116:1810,0,0,0,15.06,0.76,0
20231116:1910,0,0,0,14.26,1.1,0
20231116:2010,0,0,0,14.53,0.62,0
20231116:2110,0,0,0,13.9,0.97,0
20231116:2210,0,0,0,14.21,0.83,0
20231116:2310,0,0,0,14.85,0.69,0
20231117:0010,0,0,0,15.03,0.48,0
20231117:0110,0,0,0,14.79,0.83,0
20231117:0210,0,0,0,14.46,1.66,0
20231117:0310,0,0,0,14.16,2.07,0
20231117:0410,0,0,0,13.89,2.28,0
20231117:0510,0,0,0,13.55,2.07,0
20231117:0610,0,0,0,13.42,1.66,0
20231117:0710,0.74,7.57,3.95,13.27,1.79,0
20231117:0810,33.16,54.87,13,13.41,1.59,0
20231117:0910,50.57,76.62,20.54,13.72,1.93,0
20231117:1010,34.58,56.76,25.98,14.05,2.62,0
20231117:1110,60.53,88.92,28.72,14.39,2.83,0
20231117:1210,55.81,83.25,28.39,14.56,2.62,0
20231117:1310,73.63,105,25.04,14.89,2.41,0
20231117:1410,54.05,81.35,19.1,15.31,2.55,0
20231117:1510,58.94,87.41,11.19,15.35,2.69,0
20231117:1610,0,1.81,1.89,14.91,2.34,0
20231117:1710,0,0,0,14.49,2.07,0
20231117:1810,0,0,0,14.2,1.79,0
20231117:1910,0,0,0,13.49,1.1,0
20231117:2010,0,0,0,13.02,1.38,0
20231117:2110,0,0,0,13.45,0.62,0
20231117:2210,0,0,0,13.09,0.34,0
20231117:2310,0,0,0,12.64,0.62,0
20231118:0010,0,0,0,11.89,0.9,0
20231118:0110,0,0,0,10.82,1.24,0
20231118:0210,0,0,0,10.57,1.45,0
20231118:0310,0,0,0,10.42,1.52,0
20231118:0410,0,0,0,9.88,1.66,0
20231118:0510,0,0,0,9.46,1.59,0
20231118:0610,0,0,0,9.33,1.59,0
20231118:0710,40.32,67.12,3.73,9.5,1.59,0
20231118:0810,285.04,355.73,12.77,10.28,1.03,0
20231118:0910,443.31,563.84,20.3,12.43,0.55,0
20231118:1010,555.75,729.83,25.73,14.49,0.83,0
20231118:1110,604.05,800.38,28.48,15.97,1.52,0
20231118:1210,601.06,799.47,28.16,17.24,1.66,0
20231118:1310,540.12,712.41,24.83,18.18,1.52,0
20231118:1410,407.14,526.53,18.92,18.63,1.38,0
20231118:1510,276.98,362.46,11.04,18.58,1.17,0
20231118:1610,0.56,7.24,1.75,17.66,1.31,0
20231118:1710,0,0,0,16.13,1.59,0
20231118:1810,0,0,0,14.95,2.14,0
20231118:1910,0,0,0,14.38,2.14,0
20231118:2010,0,0,0,12.98,2.14,0
20231118:2110,0,0,0,11.76,2,0
20231118:2210,0,0,0,10.91,2,0
20231118:2310,0,0,0,10.39,2,0
20231119:0010,0,0,0,10.04,2,0
20231119:0110,0,0,0,9.71,1.93,0
20231119:0210,0,0,0,9.47,1.86,0
20231119:0310,0,0,0,9.34,1.93,0
20231119:0410,0,0,0,9.56,2.07,0
20231119:0510,0,0,0,10.08,2.21,0
20231119:0610,0,0,0,10.36,2.21,0
20231119:0710,41.02,68.47,3.52,10.28,2.07,0
20231119:0810,287.9,360.02,12.55,11.04,1.31,0
20231119:0910,444.86,572.6,20.06,15.14,0.76,0
20231119:1010,544.55,734.17,25.49,17.72,0.34,0
20231119:1110,587.77,805.07,28.24,19.02,0.62,0
20231119:1210,586.3,797.81,27.93,19.86,1.1,0
20231119:1310,540.03,723.17,24.62,20.19,1.31,0
20231119:1410,414.64,540.98,18.74,20.21,1.45,0
20231119:1510,194.35,257.21,10.88,19.65,1.45,0
20231119:1610,0,3.62,1.62,18.29,1.24,0
20231119:1710,0,0,0,17.18,0.34,0
20231119:1810,0,0,0,15.64,0.9,0
20231119:1910,0,0,0,14.12,1.59,0
20231119:2010,0,0,0,13.59,2,0
20231119:2110,0,0,0,13.09,2.07,0
20231119:2210,0,0,0,12.38,2.07,0
20231119:2310,0,0,0,11.84,2.07,0
20231120:0010,0,0,0,11.37,2,0
20231120:0110,0,0,0,11.01,1.93,0
20231120:0210,0,0,0,10.88,1.86,0
20231120:0310,0,0,0,11.25,1.93,0
20231120:0410,0,0,0,11.02,2,0
20231120:0510,0,0,0,10.63,1.93,0
20231120:0610,0,0,0,10.03,2,0
20231120:0710,33.09,57.6,3.31,8.92,1.93,0
20231120:0810,278.58,347.06,12.33,10.25,1.38,0
20231120:0910,430.84,551.01,19.83,14.61,0.83,0
20231120:1010,538.78,722.91,25.25,16.99,0.28,0
20231120:1110,586.33,801.43,28,17.96,0.41,0
20231120:1210,581.89,786.71,27.71,18.56,0.97,0
20231120:1310,538.04,714.56,24.42,18.86,1.31,0
20231120:1410,304.87,391.13,18.57,18.75,1.38,0
20231120:1510,122.46,166.75,10.74,18.44,1.59,0
20231120:1610,0,1.81,1.5,17.44,1.45,0
20231120:1710,0,0,0,16.24,1.17,0
20231120:1810,0,0,0,15.02,0.76,0
20231120:1910,0,0,0,15.03,0.69,0
20231120:2010,0,0,0,14.51,0.62,0
20231120:2110,0,0,0,14.58,0.21,0
20231120:2210,0,0,0,13.15,1.03,0
20231120:2310,0,0,0,12.72,1.59,0
20231121:0010,0,0,0,12.82,2,0
20231121:0110,0,0,0,12.31,2.48,0
20231121:0210,0,0,0,11.77,3.24,0
20231121:0310,0,0,0,11.07,3.72,0
20231121:0410,0,0,0,10.55,3.52,0
20231121:0510,0,0,0,10.26,2.34,0
20231121:0610,0,0,0,10.25,0.76,0
20231121:0710,59.07,93.45,3.1,9.93,0.69,0
20231121:0810,302.06,377.5,12.11,10.38,1.1,0
20231121:0910,481.7,607.84,19.6,11.95,1.45,0
20231121:1010,600.82,788.88,25.02,13.49,1.17,0
20231121:1110,636.1,854.79,27.77,14.44,0.9,0
